DATE,IPMAN
1999-11-01,91.5470
1999-12-01,92.2076
2000-01-01,92.2764
2000-02-01,92.5669
2000-03-01,93.1949
2000-04-01,93.8051
2000-05-01,93.8815
2000-06-01,94.0159
2000-07-01,94.0930
2000-08-01,93.4969
2000-09-01,93.9426
2000-10-01,93.6689
2000-11-01,93.4114
2000-12-01,92.8624
2001-01-01,92.4312
2001-02-01,91.8980
2001-03-01,91.7163
2001-04-01,91.3506
2001-05-01,90.7504
2001-06-01,90.1484
2001-07-01,89.6332
2001-08-01,89.2730
2001-09-01,88.9165
2001-10-01,88.5211
2001-11-01,88.2363
2001-12-01,88.4092
2002-01-01,89.0228
2002-02-01,89.0486
2002-03-01,89.7615
2002-04-01,90.0670
2002-05-01,90.5791
2002-06-01,91.5003
2002-07-01,91.4028
2002-08-01,91.4704
2002-09-01,91.5700
2002-10-01,91.2756
2002-11-01,91.7625
2002-12-01,91.1347
2003-01-01,91.9314
2003-02-01,91.8045
2003-03-01,91.8943
2003-04-01,91.2369
2003-05-01,91.2911
2003-06-01,91.7192
2003-07-01,92.0878
2003-08-01,91.7090
2003-09-01,92.5400
2003-10-01,92.6163
2003-11-01,93.4626
2003-12-01,93.4216
2004-01-01,93.3571
2004-02-01,94.0420
2004-03-01,94.0007
2004-04-01,94.3120
2004-05-01,94.9846
2004-06-01,94.2763
2004-07-01,95.0968
2004-08-01,95.5339
2004-09-01,95.6100
2004-10-01,96.6134
2004-11-01,96.5954
2004-12-01,97.3759
2005-01-01,97.9992
2005-02-01,98.9195
2005-03-01,98.4306
2005-04-01,98.8366
2005-05-01,99.1139
2005-06-01,99.3489
2005-07-01,99.0157
2005-08-01,99.5702
2005-09-01,98.4303
2005-10-01,99.9001
2005-11-01,100.8458
2005-12-01,100.9394
2006-01-01,101.7622
2006-02-01,101.4658
2006-03-01,101.4176
2006-04-01,101.7898
2006-05-01,101.5625
2006-06-01,101.9031
2006-07-01,101.6034
2006-08-01,102.4112
2006-09-01,102.4877
2006-10-01,102.0098
2006-11-01,102.1152
2006-12-01,103.6789
2007-01-01,103.2709
2007-02-01,103.6517
2007-03-01,104.5857
2007-04-01,105.2798
2007-05-01,105.2647
2007-06-01,105.6801
2007-07-01,105.7557
2007-08-01,105.5295
2007-09-01,105.8948
2007-10-01,105.7554
2007-11-01,106.3892
2007-12-01,106.4737
2008-01-01,106.2347
2008-02-01,105.4327
2008-03-01,104.9422
2008-04-01,103.8964
2008-05-01,103.3681
2008-06-01,102.6801
2008-07-01,101.5866
2008-08-01,100.2909
2008-09-01,96.7426
2008-10-01,96.1906
2008-11-01,93.7687
2008-12-01,90.5617
2009-01-01,87.6202
2009-02-01,87.6267
2009-03-01,86.0842
2009-04-01,85.5305
2009-05-01,84.6169
2009-06-01,84.4011
2009-07-01,85.8299
2009-08-01,86.8097
2009-09-01,87.6987
2009-10-01,87.7057
2009-11-01,88.6429
2009-12-01,88.5293
2010-01-01,89.5694
2010-02-01,89.5897
2010-03-01,90.8003
2010-04-01,91.6306
2010-05-01,92.8472
2010-06-01,92.8513
2010-07-01,93.3609
2010-08-01,93.5501
2010-09-01,93.6355
2010-10-01,93.6834
2010-11-01,93.7922
2010-12-01,94.2651
2011-01-01,94.3664
2011-02-01,94.5685
2011-03-01,95.2124
2011-04-01,94.6472
2011-05-01,94.6682
2011-06-01,94.7599
2011-07-01,95.3321
2011-08-01,95.7869
2011-09-01,96.0685
2011-10-01,96.5870
2011-11-01,96.4209
2011-12-01,97.0218
2012-01-01,97.9284
2012-02-01,98.3492
2012-03-01,97.8244
2012-04-01,98.3617
2012-05-01,98.0749
2012-06-01,98.3996
2012-07-01,98.2630
2012-08-01,98.1349
2012-09-01,97.9375
2012-10-01,97.7840
2012-11-01,98.4044
2012-12-01,99.1269
2013-01-01,98.8816
2013-02-01,99.3660
2013-03-01,99.3249
2013-04-01,98.9805
2013-05-01,99.2802
2013-06-01,99.4436
2013-07-01,98.5984
2013-08-01,99.4279
2013-09-01,99.4861
2013-10-01,99.6678
2013-11-01,99.6727
2013-12-01,99.5066
2014-01-01,98.4046
2014-02-01,99.3521
2014-03-01,100.2411
2014-04-01,100.2186
2014-05-01,100.5074
2014-06-01,100.8410
2014-07-01,101.3987
2014-08-01,100.8009
2014-09-01,100.8722
2014-10-01,100.7754
2014-11-01,101.4676
2014-12-01,101.2936
2015-01-01,100.7080
2015-02-01,99.9655
2015-03-01,100.2806
2015-04-01,100.2455
2015-05-01,100.2375
2015-06-01,99.8551
2015-07-01,100.5954
2015-08-01,100.2340
2015-09-01,100.0236
2015-10-01,99.8928
2015-11-01,99.5780
2015-12-01,99.2995
2016-01-01,99.7502
2016-02-01,99.4265
2016-03-01,99.3601
2016-04-01,99.1960
2016-05-01,99.1150
2016-06-01,99.3614
2016-07-01,99.4487
2016-08-01,99.0922
2016-09-01,99.2900
2016-10-01,99.4402
2016-11-01,99.3320
2016-12-01,99.2912
2017-01-01,99.5160
2017-02-01,99.5006
2017-03-01,99.2128
2017-04-01,100.3682
2017-05-01,100.1552
2017-06-01,100.1335
2017-07-01,99.8331
2017-08-01,99.6166
2017-09-01,99.6582
2017-10-01,100.7491
2017-11-01,100.7789
2017-12-01,100.4778
2018-01-01,100.0893
2018-02-01,101.1146
2018-03-01,101.2050
2018-04-01,101.9431
2018-05-01,101.0712
2018-06-01,101.7339
2018-07-01,101.8353
2018-08-01,102.1497
2018-09-01,102.1115
2018-10-01,101.7088
2018-11-01,101.2783
2018-12-01,101.4445
2019-01-01,100.6521
2019-02-01,100.2042
2019-03-01,100.1091
2019-04-01,99.4866
2019-05-01,99.5509
2019-06-01,99.8517
2019-07-01,99.2399
2019-08-01,99.9127
2019-09-01,99.1820
2019-10-01,98.4407
2019-11-01,99.1150
2019-12-01,98.9808
2020-01-01,98.8710
2020-02-01,99.1914
2020-03-01,94.9624
2020-04-01,80.3952
2020-05-01,83.9311
2020-06-01,90.2099
2020-07-01,93.5004
2020-08-01,94.8364
2020-09-01,94.8366
2020-10-01,95.8147
2020-11-01,96.3580
2020-12-01,96.7461
2021-01-01,98.3236
2021-02-01,94.7465
2021-03-01,97.7230
2021-04-01,97.6707
2021-05-01,98.6103
2021-06-01,98.5774
2021-07-01,99.6776
2021-08-01,99.3527
2021-09-01,98.5784
2021-10-01,100.2511
2021-11-01,100.8291
2021-12-01,100.7976
2022-01-01,100.4851
2022-02-01,101.7173
2022-03-01,102.4339
2022-04-01,102.9031
2022-05-01,102.4763
2022-06-01,101.7132
2022-07-01,102.1354
2022-08-01,102.2662
2022-09-01,102.5801
2022-10-01,102.8652
2022-11-01,102.2407
